year,month,region,temp
1881,1,Brandenburg/Berlin,-5.54
1881,1,Brandenburg,-5.56
1881,1,Baden-Wuerttemberg,-4.89
1881,1,Bayern,-6.51
1881,1,Hessen,-5.68
1881,1,Mecklenburg-Vorpommern,-5.07
1881,1,Niedersachsen,-4.55
1881,1,Niedersachsen/Hamburg/Bremen,-4.55
1881,1,Nordrhein-Westfalen,-4.21
1881,1,Rheinland-Pfalz,-4.49
1881,1,Schleswig-Holstein,-4.06
1881,1,Saarland,-4.1499999999999995
1881,1,Sachsen,-6.22
1881,1,Sachsen-Anhalt,-5.89
1881,1,Thueringen/Sachsen-Anhalt,-6.28
1881,1,Thueringen,-6.76
1881,1,Deutschland,-5.359999999999999
1882,1,Brandenburg/Berlin,1.43
1882,1,Brandenburg,1.42
1882,1,Baden-Wuerttemberg,-0.65
1882,1,Bayern,-1.33
1882,1,Hessen,-0.3
1882,1,Mecklenburg-Vorpommern,1.59
1882,1,Niedersachsen,1.73
1882,1,Niedersachsen/Hamburg/Bremen,1.73
1882,1,Nordrhein-Westfalen,1.26
1882,1,Rheinland-Pfalz,-0.17
1882,1,Schleswig-Holstein,2.11
1882,1,Saarland,-0.04
1882,1,Sachsen,0.63
1882,1,Sachsen-Anhalt,1.1800000000000002
1882,1,Thueringen/Sachsen-Anhalt,0.6
1882,1,Thueringen,-0.12000000000000001
1882,1,Deutschland,0.41000000000000003
1883,1,Brandenburg/Berlin,-0.41000000000000003
1883,1,Brandenburg,-0.42000000000000004
1883,1,Baden-Wuerttemberg,-0.09
1883,1,Bayern,-1.49
1883,1,Hessen,0.04
1883,1,Mecklenburg-Vorpommern,-0.69
1883,1,Niedersachsen,0.32999999999999996
1883,1,Niedersachsen/Hamburg/Bremen,0.32
1883,1,Nordrhein-Westfalen,1.27
1883,1,Rheinland-Pfalz,0.49
1883,1,Schleswig-Holstein,-0.12000000000000001
1883,1,Saarland,0.55
1883,1,Sachsen,-1.2
1883,1,Sachsen-Anhalt,-0.39
1883,1,Thueringen/Sachsen-Anhalt,-0.69
1883,1,Thueringen,-1.07
1883,1,Deutschland,-0.32
1884,1,Brandenburg/Berlin,3.3499999999999996
1884,1,Brandenburg,3.34
1884,1,Baden-Wuerttemberg,2.34
1884,1,Bayern,1.22
1884,1,Hessen,2.9699999999999998
1884,1,Mecklenburg-Vorpommern,3.16
1884,1,Niedersachsen,3.9899999999999998
1884,1,Niedersachsen/Hamburg/Bremen,3.9899999999999998
1884,1,Nordrhein-Westfalen,4.17
1884,1,Rheinland-Pfalz,3.24
1884,1,Schleswig-Holstein,3.56
1884,1,Saarland,3.24
1884,1,Sachsen,2.3899999999999997
1884,1,Sachsen-Anhalt,3.32
1884,1,Thueringen/Sachsen-Anhalt,2.9299999999999997
1884,1,Thueringen,2.4299999999999997
1884,1,Deutschland,2.86
1885,1,Brandenburg/Berlin,-2.15
1885,1,Brandenburg,-2.16
1885,1,Baden-Wuerttemberg,-3.88
1885,1,Bayern,-4.91
1885,1,Hessen,-2.66
1885,1,Mecklenburg-Vorpommern,-1.71
1885,1,Niedersachsen,-1.44
1885,1,Niedersachsen/Hamburg/Bremen,-1.44
1885,1,Nordrhein-Westfalen,-1.1400000000000001
1885,1,Rheinland-Pfalz,-2.01
1885,1,Schleswig-Holstein,-1.09
1885,1,Saarland,-2
1885,1,Sachsen,-2.8699999999999997
1885,1,Sachsen-Anhalt,-2.86
1885,1,Thueringen/Sachsen-Anhalt,-3.36
1885,1,Thueringen,-3.98
1885,1,Deutschland,-2.79
1886,1,Brandenburg/Berlin,-0.96
1886,1,Brandenburg,-0.96
1886,1,Baden-Wuerttemberg,-1.44
1886,1,Bayern,-2.9499999999999997
1886,1,Hessen,-1.01
1886,1,Mecklenburg-Vorpommern,-0.97
1886,1,Niedersachsen,-0.41000000000000003
1886,1,Niedersachsen/Hamburg/Bremen,-0.41000000000000003
1886,1,Nordrhein-Westfalen,0.19
1886,1,Rheinland-Pfalz,-0.33999999999999997
1886,1,Schleswig-Holstein,-0.5
1886,1,Saarland,-0.22
1886,1,Sachsen,-1.59
1886,1,Sachsen-Anhalt,-1.11
1886,1,Thueringen/Sachsen-Anhalt,-1.51
1886,1,Thueringen,-2.01
1886,1,Deutschland,-1.25
1887,1,Brandenburg/Berlin,-3.13
1887,1,Brandenburg,-3.14
1887,1,Baden-Wuerttemberg,-4.42
1887,1,Bayern,-5.9
1887,1,Hessen,-4.34
1887,1,Mecklenburg-Vorpommern,-2.74
1887,1,Niedersachsen,-2.27
1887,1,Niedersachsen/Hamburg/Bremen,-2.2600000000000002
1887,1,Nordrhein-Westfalen,-1.79
1887,1,Rheinland-Pfalz,-3.2600000000000002
1887,1,Schleswig-Holstein,-2.12
1887,1,Saarland,-2.9
