year,month,region,precip
1881,1,Brandenburg/Berlin,20.4
1881,1,Brandenburg,20.3
1881,1,Baden-Wuerttemberg,36.2
1881,1,Bayern,22.5
1881,1,Hessen,33.2
1881,1,Mecklenburg-Vorpommern,16.8
1881,1,Niedersachsen,35.1
1881,1,Niedersachsen/Hamburg/Bremen,34.9
1881,1,Nordrhein-Westfalen,40.6
1881,1,Rheinland-Pfalz,39.3
1881,1,Schleswig-Holstein,21.5
1881,1,Saarland,52.8
1881,1,Sachsen,21.8
1881,1,Sachsen-Anhalt,23.5
1881,1,Thueringen/Sachsen-Anhalt,25
1881,1,Thueringen,26.8
1881,1,Deutschland,28.7
1882,1,Brandenburg/Berlin,19.7
1882,1,Brandenburg,19.6
1882,1,Baden-Wuerttemberg,23.6
1882,1,Bayern,21.9
1882,1,Hessen,22.9
1882,1,Mecklenburg-Vorpommern,25.8
1882,1,Niedersachsen,34.6
1882,1,Niedersachsen/Hamburg/Bremen,34.6
1882,1,Nordrhein-Westfalen,35.2
1882,1,Rheinland-Pfalz,24.7
1882,1,Schleswig-Holstein,43.4
1882,1,Saarland,29.2
1882,1,Sachsen,17.6
1882,1,Sachsen-Anhalt,18.9
1882,1,Thueringen/Sachsen-Anhalt,19.2
1882,1,Thueringen,19.4
1882,1,Deutschland,25.8
1883,1,Brandenburg/Berlin,29.2
1883,1,Brandenburg,29.1
1883,1,Baden-Wuerttemberg,43.4
1883,1,Bayern,50
1883,1,Hessen,50
1883,1,Mecklenburg-Vorpommern,28.4
1883,1,Niedersachsen,38.5
1883,1,Niedersachsen/Hamburg/Bremen,38.5
1883,1,Nordrhein-Westfalen,56.3
1883,1,Rheinland-Pfalz,45.5
1883,1,Schleswig-Holstein,41.8
1883,1,Saarland,54
1883,1,Sachsen,37.6
1883,1,Sachsen-Anhalt,27.9
1883,1,Thueringen/Sachsen-Anhalt,33.2
1883,1,Thueringen,39.7
1883,1,Deutschland,42.2
1884,1,Brandenburg/Berlin,51.6
1884,1,Brandenburg,51.5
1884,1,Baden-Wuerttemberg,65.4
1884,1,Bayern,58.4
1884,1,Hessen,71.8
1884,1,Mecklenburg-Vorpommern,58.5
1884,1,Niedersachsen,86.6
1884,1,Niedersachsen/Hamburg/Bremen,86.7
1884,1,Nordrhein-Westfalen,96.2
1884,1,Rheinland-Pfalz,69.2
1884,1,Schleswig-Holstein,93.4
1884,1,Saarland,80.6
1884,1,Sachsen,55.8
1884,1,Sachsen-Anhalt,50.7
1884,1,Thueringen/Sachsen-Anhalt,54
1884,1,Thueringen,58.1
