X,id,duration,n_bids,cond,start_pr,ship_pr,total_pr,ship_sp,seller_rate,stock_photo,wheels
49,380164318834,7,21,used,0.99,3,38.06,firstClass,8625,yes,0
65,130335427560,3,27,used,6.95,4,118.5,parcel,41,no,0
74,180415469294,1,20,new,0.01,0,56,media,820,yes,2
122,370266219023,7,3,used,38,4,47,parcel,508,no,1
143,110443320905,1,13,new,1,2.99,54.51,upsGround,4858,yes,2
128,170391971205,1,19,new,0.01,0,61,media,820,yes,2
47,290357882110,1,12,new,1,2.99,53.99,upsGround,4858,yes,2
24,110441494985,1,18,new,1,2.99,50.5,upsGround,4858,yes,2
71,110442400658,3,9,new,25,4,47,ups3Day,627,yes,1
100,250505900389,5,14,used,10,9.26,38.26,upsGround,35,no,1
89,120476317961,5,5,new,35,4,49.91,parcel,127,yes,1
110,320430035588,5,20,new,0.01,0,46,media,8224,yes,1
20,110439174663,7,22,used,1,25.51,326.51,parcel,115,no,2
114,110441494999,1,25,new,1,2.99,57.5,upsGround,4858,yes,2
111,360194338883,3,16,used,0.99,4,43,standard,270143,yes,0
3,320432342985,3,16,new,0.99,3.5,45.5,firstClass,998,no,1
41,260482893160,7,5,new,30,0,46.03,firstClass,555,no,1
133,280404385327,7,14,used,16,4,44,priority,37,yes,1
27,140350730320,3,5,used,15,3.5,34.5,firstClass,37,yes,0
36,150377945722,3,15,used,0.99,8.7,44.78,priority,88,yes,1
101,110442288138,5,11,used,19.99,4,51,priority,36,no,2
95,110443640168,1,16,used,0.01,0,31.06,standard,7284,yes,0
109,300354031535,1,16,new,1,2.99,53.76,upsGround,4858,yes,2
5,170392227765,1,20,new,0.01,0,71,media,820,yes,2
84,160366174782,7,2,used,55,9.02,65.02,parcel,25,no,4
34,170388799958,5,24,used,0.99,3.99,49.49,upsGround,27,yes,2
92,140349745540,5,10,used,9.99,1.99,35.99,upsGround,19,yes,0
104,170390813853,1,22,new,0.01,0,63.5,media,820,yes,2
138,120475800455,7,6,used,24.99,8.7,40.7,priority,3085,no,1
58,290355740844,5,7,used,25,2.99,48,priority,239,no,1
97,110441486551,3,23,new,0.99,4,40.1,standard,270144,yes,0
42,360194236883,3,13,used,0.99,0,42.25,priority,42241,no,1
136,300354862386,1,18,new,1,2.99,58.98,upsGround,4858,yes,2
30,320430545471,7,15,new,9.99,4,47,parcel,62,yes,1
43,320433689752,1,14,used,0.99,4,46,priority,34,no,2
15,250505391611,7,6,used,24.99,4,43.33,standard,154,yes,1
22,290356835900,1,16,new,1,2.99,53.98,upsGround,4858,yes,2
130,270466062990,3,11,new,0.99,4,46,firstClass,299,yes,1
8,300355501482,1,15,new,1,2.99,53.99,upsGround,4858,yes,2
124,320431084246,1,11,used,1,0,41,priority,30,no,1
68,160366874975,7,14,used,0.99,3,40,media,88,yes,1
86,160366410200,3,14,new,0.99,4,64,standard,127,yes,2
18,280406546082,3,23,new,0.99,0,46,standard,7,yes,1
117,160365924565,7,18,new,9.99,4,45.99,firstClass,1154,yes,1
69,360193279993,7,12,used,0.99,4,64.5,standard,991,no,3
4,280405224677,3,18,new,0.99,0,44,standard,7,yes,1
50,160365983438,7,16,used,0.99,0,46,priority,90,no,1
88,280402374100,7,7,new,29.95,8.7,54.7,priority,208,yes,1
87,270464942103,7,7,used,0.99,3,36,priority,0,yes,0
139,110441497272,1,20,used,0.01,0,39.51,standard,7284,yes,0
26,180416694913,1,19,new,0.01,0,55,media,820,yes,2
6,360195157625,3,19,new,0.99,4,45,standard,270144,yes,0
134,350258416318,5,17,used,0.99,10.35,41.35,priority,14503,yes,1
2,260483376854,7,13,used,0.99,3.99,37.04,firstClass,365,yes,1
115,350261016626,1,3,new,69.95,0,75,standard,118345,yes,3
21,260486415542,1,7,used,0.99,0,31,standard,4982,yes,0
90,220491072489,3,16,used,0.99,4,47,parcel,231,yes,0
106,230382266458,7,18,new,18,4,47,standard,389,yes,1
10,330364163424,7,8,used,19.99,4,50,firstClass,201,no,1
40,290356333829,1,14,new,1,2.99,53.76,upsGround,4858,yes,2
120,140350726723,3,8,used,20,4,50,parcel,63,yes,2
33,390101286838,5,13,used,0.99,4,41.99,standard,16041,yes,1
94,230382795039,7,15,used,12,0,46,priority,15,yes,1
73,320429126014,7,16,new,0.99,3.5,41.5,firstClass,998,no,1
29,140350558850,1,13,used,0.99,4,40,standard,4200,no,0
76,110443314932,1,13,used,0.99,8.02,49,parcel,350,no,2
9,200392065459,3,29,used,0.99,4,47,priority,27,yes,1
35,190339151607,3,10,used,0.99,0,41,priority,42241,yes,1
16,120474800581,7,22,used,0.99,4,46,media,309,yes,0
99,180412891421,7,9,used,10,4,44,other,103,no,2
140,150376936435,7,9,used,17.99,0,52,parcel,121,no,2
129,180416291487,1,14,new,0.01,0,62.89,media,820,yes,2
123,110443653510,1,17,new,1,2.99,56,upsGround,4858,yes,2
141,140349730405,3,14,new,0.99,8.7,47.7,priority,251,yes,1
55,300353503260,7,16,used,0.99,2.95,43.95,firstClass,943,yes,0
119,170389877681,1,13,new,0.01,0,45,other,556,yes,1
96,260485846288,3,15,used,0.99,0,55.6,upsGround,54,yes,2
57,230383186236,7,10,used,0.99,4,40.06,firstClass,4473,no,1
112,170389664528,3,5,used,35,0,42.55,priority,10,yes,1
135,230383342455,7,11,used,9.99,3,37,priority,297,no,0
125,120477418866,3,9,new,0.01,0,46,firstClass,1144,no,1
13,300353460362,1,13,new,1,2.99,48,upsGround,4858,yes,2
53,180414884615,3,16,used,0.99,0,36,standard,2046,no,1
54,330364742474,3,2,new,51.99,0,51.99,other,223861,yes,0
19,290356835892,1,10,new,1,2.99,55.99,upsGround,4858,yes,2
32,320429712274,7,14,used,1.99,0,31,media,166,yes,0
75,400077480990,1,1,new,64.95,0,64.95,standard,118345,yes,2
60,180413665867,10,3,used,30,0,31,priority,19,no,0
79,270464680053,3,14,used,0.99,4,45,standard,270144,yes,0
17,140350383072,3,14,new,0.99,8.7,46.71,priority,251,yes,1
44,110443667250,1,29,new,1,2.99,51.99,upsGround,4858,yes,2
77,140350338936,3,4,used,34.99,4,48,standard,85,yes,1
67,110441494977,1,13,new,1,2.99,53.99,upsGround,4858,yes,2
121,250505299784,7,16,new,9.99,9.69,49.75,priority,94,yes,0
48,190338339476,7,20,used,15,0,39,firstClass,422,yes,0
